市场,代码,名称
上海,300315,掌趣科技
上海,300316,晶盛机电
上海,300317,珈伟新能
上海,300318,博晖创新
上海,300319,麦捷科技
上海,300320,海达股份
上海,300321,同大股份
上海,300322,硕贝德
上海,300323,华灿光电
上海,300324,旋极信息
上海,300326,凯利泰
上海,300327,中颖电子
上海,300328,宜安科技
上海,300329,海伦钢琴
上海,300331,苏大维格
上海,300332,天壕能源
上海,300333,兆日科技
上海,300334,津膜科技
上海,300335,迪森股份
上海,300337,银邦股份
上海,300339,润和软件
上海,300340,科恒股份
上海,300341,麦克奥迪
上海,300342,天银机电
上海,300344,立方数科
上海,300345,华民股份
上海,300346,南大光电
上海,300347,泰格医药
上海,300348,长亮科技
上海,300349,金卡智能
上海,300350,华鹏飞
上海,300351,永贵电器
上海,300352,北信源
上海,300353,东土科技
上海,300354,东华测试
上海,300355,蒙草生态
上海,300357,我武生物
上海,300358,楚天科技
上海,300359,全通教育
上海,300360,炬华科技
上海,300363,博腾股份
上海,300364,中文在线
上海,300365,恒华科技
上海,300366,创意信息
上海,300369,绿盟科技
上海,300370,安控科技
上海,300371,汇中股份
上海,300373,扬杰科技
上海,300374,中铁装配
上海,300375,鹏翎股份
上海,300377,赢时胜
上海,300378,鼎捷数智
上海,300379,东方通
上海,300380,安硕信息
上海,300381,溢多利
上海,300382,斯莱克
上海,300383,光环新网
上海,300384,三联虹普
上海,300385,雪浪环境
上海,300386,飞天诚信
上海,300387,富邦科技
上海,300388,节能国祯
上海,300389,艾比森
上海,300390,天华新能
上海,300391,长药控股
上海,300393,中来股份
上海,300394,天孚通信
上海,300395,菲利华
上海,300396,迪瑞医疗
上海,300397,天和防务
上海,300398,飞凯材料
上海,300399,天利科技
上海,300400,劲拓股份
上海,300401,花园生物
上海,300402,宝色股份
上海,300403,汉宇集团
上海,300404,博济医药
上海,300405,科隆股份
上海,300406,九强生物
上海,300407,凯发电气
上海,300408,三环集团
上海,300409,道氏技术
上海,300410,正业科技
上海,300411,金盾股份
上海,300412,迦南科技
上海,300413,芒果超媒
上海,300414,中光防雷
上海,300415,伊之密
上海,300416,苏试试验
上海,300417,南华仪器
上海,300418,昆仑万维
上海,300420,五洋自控
上海,300421,力星股份
上海,300422,博世科
上海,300423,昇辉科技
上海,300424,航新科技
上海,300425,中建环能
上海,300426,唐德影视
上海,300427,红相股份
上海,300428,立中集团
上海,300429,强力新材
上海,300430,诚益通
上海,300432,富临精工
上海,300433,蓝思科技
上海,300434,金石亚药
上海,300435,中泰股份
上海,300436,广生堂
上海,300437,清水源
上海,300438,鹏辉能源
上海,300439,美康生物
上海,300440,运达科技
上海,300441,鲍斯股份
上海,300442,润泽科技
上海,300443,金雷股份
上海,300444,双杰电气
上海,300445,康斯特
上海,300446,航天智造
上海,300447,全信股份
上海,300448,浩云科技
上海,300449,汉邦高科
上海,300450,先导智能
上海,300451,创业慧康
上海,300452,山河药辅
上海,300453,三鑫医疗
上海,300454,深信服
上海,300455,航天智装
上海,300456,赛微电子
上海,300457,赢合科技
上海,300458,全志科技
上海,300459,汤姆猫
上海,300460,惠伦晶体
上海,300461,田中精机
上海,300462,华铭智能
上海,300463,迈克生物
上海,300464,星徽股份
上海,300465,高伟达
上海,300466,赛摩智能
上海,300467,迅游科技
上海,300468,四方精创
上海,300469,信息发展
上海,300470,中密控股
上海,300471,厚普股份
上海,300472,新元科技
上海,300473,德尔股份
上海,300474,景嘉微
上海,300475,香农芯创
上海,300476,胜宏科技
上海,300477,合纵科技
上海,300478,杭州高新
上海,300479,神思电子
上海,300480,光力科技
上海,300481,濮阳惠成
上海,300482,万孚生物
上海,300483,首华燃气
上海,300484,蓝海华腾
上海,300485,赛升药业
上海,300486,东杰智能
上海,300487,蓝晓科技
上海,300488,恒锋工具
上海,300489,光智科技
上海,300490,华自科技
上海,300491,通合科技
上海,300492,华图山鼎
上海,300493,润欣科技
上海,300494,盛天网络
上海,300496,中科创达
上海,300497,富祥药业
上海,300498,温氏股份
上海,300499,高澜股份
上海,300500,启迪设计
上海,300501,海顺新材
上海,300502,新易盛
上海,300503,昊志机电
上海,300504,天邑股份
上海,300505,川金诺
上海,300507,苏奥传感
上海,300508,维宏股份
上海,300509,新美星
上海,300510,金冠股份
上海,300511,雪榕生物
上海,300512,中亚股份
上海,300513,恒实科技
上海,300514,友讯达
上海,300515,三德科技
上海,300516,久之洋
上海,300517,海波重科
上海,300518,新迅达
上海,300519,新光药业
上海,300520,科大国创
上海,300521,爱司凯
上海,300522,世名科技
上海,300523,辰安科技
上海,300525,博思软件
上海,300527,中船应急
上海,300528,幸福蓝海
上海,300529,健帆生物
上海,300530,领湃科技
上海,300531,优博讯
上海,300532,今天国际
上海,300533,冰川网络
上海,300534,陇神戎发
上海,300535,达威股份
上海,300537,广信材料
上海,300538,同益股份
上海,300539,横河精密
上海,300540,蜀道装备
上海,300541,先进数通
上海,000001,平安银行
上海,000002,万 科Ａ
上海,000004,国华网安
上海,000006,深振业Ａ
上海,000007,全新好
上海,000008,神州高铁
上海,000009,中国宝安
上海,000010,美丽生态
上海,000011,深物业A
上海,000012,南 玻Ａ
上海,000014,沙河股份
上海,000016,深康佳Ａ
上海,000017,深中华A
上海,000019,深粮控股
上海,000020,深华发Ａ
上海,000021,深科技
上海,000025,特 力Ａ
上海,000026,飞亚达
上海,000027,深圳能源
上海,000028,国药一致
上海,000029,深深房Ａ
上海,000030,富奥股份
